,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,10100010034,2019,0.0,56,0.0,0.0,0.0,732,72.54098360655738,16.530054644808743,55.32786885245902,16.530054644808743,8.060109289617486
2,10100860960,2019,0.0,41,0.0,0.0,0.0,155,86.45161290322581,9.032258064516128,64.51612903225806,15.483870967741936,5.161290322580645
3,10201040001,2019,0.0,83,0.0,0.0,0.0,52,40.38461538461539,94.23076923076923,0.0,0.0,0.0
4,10306060008,2019,0.0,92,0.0,0.0,0.0,257,17.120622568093385,83.65758754863813,2.7237354085603114,6.22568093385214,4.669260700389105
5,10402060001,2019,0.0,64,0.0,0.0,0.0,180,57.22222222222222,76.66666666666667,8.333333333333332,10.0,0.5555555555555556
6,10500010007,2019,0.0,49,0.0,0.0,0.0,129,79.06976744186046,71.31782945736434,16.27906976744186,6.976744186046512,2.3255813953488373
7,10601060008,2019,0.0,83,0.0,0.0,0.0,369,46.070460704607044,60.97560975609756,10.840108401084011,11.38211382113821,7.588075880758807
8,10623060010,2019,0.0,93,0.0,0.0,0.0,386,33.93782383419689,66.06217616580311,12.953367875647666,7.772020725388601,10.103626943005182
9,10701030001,2019,0.0,61,0.0,0.0,0.0,56,66.07142857142857,85.71428571428571,8.928571428571429,3.571428571428571,0.0
10,10802060005,2019,0.0,82,0.0,0.0,0.0,306,28.75816993464052,75.49019607843137,5.555555555555555,4.57516339869281,8.169934640522875
11,11003060002,2019,0.0,96,0.0,0.0,0.0,55,14.545454545454545,90.9090909090909,0.0,3.6363636363636362,3.6363636363636362
12,11200010010,2019,0.0,60,0.0,0.0,0.0,140,67.85714285714286,46.42857142857143,27.142857142857142,13.571428571428571,7.142857142857142
13,20101040002,2019,0.0,98,0.0,0.0,0.0,58,32.758620689655174,94.82758620689656,0.0,1.7241379310344827,3.4482758620689653
14,20601040001,2019,0.0,62,0.0,0.0,0.0,29,65.51724137931035,96.55172413793103,0.0,3.4482758620689653,0.0
15,20702040001,2019,0.0,69,0.0,0.0,0.0,51,54.90196078431373,90.19607843137256,1.9607843137254901,1.9607843137254901,1.9607843137254901
16,20801040001,2019,0.0,75,0.0,0.0,0.0,28,60.71428571428571,100.0,0.0,0.0,0.0
